
> Backend Tests (ubuntu-latest)	Run cargo clippy	2026-04-17T19:33:00.7996459Z ##[error]Process completed with exit code 101.
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	锘?026-04-17T19:33:00.8083043Z Post job cleanup.
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9031139Z [command]/usr/bin/git version
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9069197Z git version 2.53.0
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9114663Z Temporarily overriding HOME='/home/runner/work/_temp/e0f04cfd-47ec-4ce9-b284-b1dce587fdd2' before making global git config changes
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9116002Z Adding repository directory to the temporary git global config as a safe directory
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9122357Z [command]/usr/bin/git config --global --add safe.directory /home/runner/work/sys-monitor/sys-monitor
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9169510Z [command]/usr/bin/git config --local --name-only --get-regexp core\.sshCommand
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9204568Z [command]/usr/bin/git submodule foreach --recursive sh -c "git config --local --name-only --get-regexp 'core\.sshCommand' && git config --local --unset-all 'core.sshCommand' || :"
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9439785Z [command]/usr/bin/git config --local --name-only --get-regexp http\.https\:\/\/github\.com\/\.extraheader
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9460443Z http.https://github.com/.extraheader
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9472537Z [command]/usr/bin/git config --local --unset-all http.https://github.com/.extraheader
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9502253Z [command]/usr/bin/git submodule foreach --recursive sh -c "git config --local --name-only --get-regexp 'http\.https\:\/\/github\.com\/\.extraheader' && git config --local --unset-all 'http.https://github.com/.extraheader' || :"
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9719218Z [command]/usr/bin/git config --local --name-only --get-regexp ^includeIf\.gitdir:
  Backend Tests (ubuntu-latest)	Post Run actions/checkout@v4	2026-04-17T19:33:00.9749560Z [command]/usr/bin/git submodule foreach --recursive git config --local --show-origin --name-only --get-regexp remote.origin.url
  Backend Tests (ubuntu-latest)	Complete job	锘?026-04-17T19:33:01.0083723Z Cleaning up orphan processes
